Movie_Name,Votes,Gross_collection_millions,Certification,Star1,Star2,Star3,Star4,Genre1,Genre2,Genre3
Silverado,46771,33.2,PG,Kevin Kline,Scott Glenn,Kevin Costner,Danny Glover,Action,Crime,Drama
Kung Fu Panda 2,302529,165.25,PG,Jack Black,Angelina Jolie,Jackie Chan,Dustin Hoffman,Animation,Action,Adventure
Friday Night Lights,65501,61.26,12A,Billy Bob Thornton,Jay Hernandez,Derek Luke,Lucas Black,Action,Drama,Sport
The Croods,224717,187.17,U,Nicolas Cage,Ryan Reynolds,Emma Stone,Catherine Keener,Animation,Action,Adventure
The Witcher: Nightmare of the Wolf,47949,N/A,18,Theo James,Mary McDonnell,Lara Pulver,Graham McTavish,Animation,Action,Adventure
Way of the Dragon,39448,4.06,15,Bruce Lee,Chuck Norris,Nora Miao,Ping-Ou Wei,Action,Adventure,Comedy
Rise of the Guardians,185611,103.41,PG,Hugh Jackman,Alec Baldwin,Isla Fisher,Chris Pine,Animation,Action,Adventure
Star Trek VI: The Undiscovered Country,78912,74.89,PG,William Shatner,Leonard Nimoy,DeForest Kelley,James Doohan,Action,Adventure,Sci-Fi
In the Line of Fire,109538,102.31,UA,Clint Eastwood,John Malkovich,Rene Russo,Dylan McDermott,Action,Crime,Drama
The Transformers: The Movie,41125,5.85,U,Orson Welles,Robert Stack,Leonard Nimoy,Norman Alden,Animation,Action,Adventure
War Horse,162174,79.88,12A,Jeremy Irvine,Emily Watson,David Thewlis,Benedict Cumberbatch,Action,Adventure,Drama
The Italian Job,48719,N/A,U,Michael Caine,Noël Coward,Benny Hill,Raf Vallone,Action,Comedy,Crime
Django,29744,0.03,Rejected,Franco Nero,José Canalejas,José Bódalo,Loredana Nusciak,Action,Drama,Western
Fist of Fury,32402,1.29,15,Bruce Lee,Nora Miao,James Tien,Maria Yi,Action,Drama,Romance
Arlington Road,89739,24.36,15,Jeff Bridges,Tim Robbins,Joan Cusack,Hope Davis,Action,Crime,Drama
Vanishing Point,29825,N/A,AA,Barry Newman,Cleavon Little,Charlotte Rampling,Dean Jagger,Action,Crime,Thriller
The Siege of Jadotville,42407,N/A,15,Richard Lukunku,Danny Sapani,Andrew Stock,Mark Strong,Action,Drama,History
The Hitcher,50531,5.84,18,Rutger Hauer,C. Thomas Howell,Jennifer Jason Leigh,Jeffrey DeMunn,Action,Mystery,Thriller
Runaway Train,31260,7.94,18,Jon Voight,Eric Roberts,Rebecca De Mornay,Kyle T. Heffner,Action,Adventure,Drama
Magnum Force,64688,4.56,A,Clint Eastwood,Hal Holbrook,Mitchell Ryan,David Soul,Action,Crime,Mystery
'71,58481,1.27,15,Jack O'Connell,Sam Reid,Sean Harris,Paul Popplewell,Action,Crime,Drama
Bajirao Mastani,37273,6.56,12A,Ranveer Singh,Deepika Padukone,Priyanka Chopra Jonas,Tanvi Azmi,Action,Drama,History
Harry Brown,89848,1.82,18,Michael Caine,Emily Mortimer,David Bradley,Charlie Creed-Miles,Action,Crime,Drama
The Good the Bad the Weird,36973,0.13,15,Song Kang-ho,Lee Byung-hun,Jung Woo-sung,Je-mun Yun,Action,Adventure,Comedy
Final Fantasy VII: Advent Children,57361,N/A,PG,Takahiro Sakurai,Ayumi Ito,Shôtarô Morikubo,Maaya Sakamoto,Animation,Action,Adventure
Mongol: The Rise to Power of Genghis Khan,48177,5.7,15,Tadanobu Asano,Amadu Mamadakov,Khulan Chuluun,Honglei Sun,Action,Biography,Drama
Marshland,35303,N/A,15,Javier Gutiérrez,Raúl Arévalo,María Varod,Perico Cervantes,Action,Crime,Mystery
Holiday,29281,0.71,15,Akshay Kumar,Sonakshi Sinha,Freddy Daruwala,Sumeet Raghavan,Action,Crime,Thriller
Mission: Impossible,453672,180.98,PG,Tom Cruise,Jon Voight,Emmanuelle Béart,Henry Czerny,Action,Adventure,Thriller
Man of Steel,793509,291.05,12A,Henry Cavill,Amy Adams,Michael Shannon,Diane Lane,Action,Adventure,Sci-Fi
Tropic Thunder,433287,110.52,15,Ben Stiller,Jack Black,Robert Downey Jr.,Jeff Kahn,Action,Comedy,War
The Mummy,447287,155.25,15,Brendan Fraser,Rachel Weisz,John Hannah,Arnold Vosloo,Action,Adventure,Fantasy
Free Guy,398090,121.63,12A,Ryan Reynolds,Jodie Comer,Taika Waititi,Lil Rel Howery,Action,Adventure,Comedy
Prey,211079,N/A,16,Amber Midthunder,Dakota Beavers,Dane DiLiegro,Stormee Kipp,Action,Adventure,Drama
Wrath of Man,194132,27.47,15,Jason Statham,Holt McCallany,Josh Hartnett,Rocci Boy Williams,Action,Crime,Thriller
American Made,196385,51.34,15,Tom Cruise,Domhnall Gleeson,Sarah Wright,Jesse Plemons,Action,Comedy,Crime
Iron Man 3,876623,409.01,12A,Robert Downey Jr.,Guy Pearce,Gwyneth Paltrow,Don Cheadle,Action,Adventure,Sci-Fi
Batman Returns,317521,162.83,12,Michael Keaton,Danny DeVito,Michelle Pfeiffer,Christopher Walken,Action,Crime,Fantasy
Snowpiercer,375174,4.56,15,Chris Evans,Jamie Bell,Tilda Swinton,Ed Harris,Action,Drama,Sci-Fi
WarGames,105745,79.57,PG,Matthew Broderick,Ally Sheedy,John Wood,Dabney Coleman,Action,Drama,Sci-Fi
Pirates of the Caribbean: At World's End,672818,309.42,12A,Johnny Depp,Orlando Bloom,Keira Knightley,Geoffrey Rush,Action,Adventure,Fantasy
Blade,287281,70.09,18,Wesley Snipes,Stephen Dorff,Kris Kristofferson,N'Bushe Wright,Action,Horror,Sci-Fi
Fast & Furious 7,404858,353.01,12A,Vin Diesel,Paul Walker,Dwayne Johnson,Jason Statham,Action,Crime,Thriller
Shooter,345901,47.0,15,Mark Wahlberg,Michael Peña,Rhona Mitra,Danny Glover,Action,Drama,Thriller
Super Pets,71121,93.66,PG,Dwayne Johnson,Kevin Hart,Kate McKinnon,John Krasinski,Animation,Action,Adventure
"I, Robot",559100,144.8,12A,Will Smith,Bridget Moynahan,Bruce Greenwood,Alan Tudyk,Action,Mystery,Sci-Fi
Creed II,148550,115.72,12A,Michael B. Jordan,Sylvester Stallone,Tessa Thompson,Phylicia Rashad,Action,Drama,Sport
Deja Vu,319751,64.04,12A,Denzel Washington,Paula Patton,Jim Caviezel,Val Kilmer,Action,Crime,Sci-Fi
Deepwater Horizon,175949,61.43,12A,Mark Wahlberg,Kurt Russell,Douglas M. Griffin,James DuMont,Action,Drama,History
Dredd,284871,13.41,18,Karl Urban,Olivia Thirlby,Lena Headey,Rachel Wood,Action,Crime,Sci-Fi
Escape from New York,150474,25.24,AA,Kurt Russell,Lee Van Cleef,Ernest Borgnine,Donald Pleasence,Action,Adventure,Sci-Fi
Everest,225689,43.48,12A,Jason Clarke,Ang Phula Sherpa,Thomas M. Wright,Martin Henderson,Action,Adventure,Biography
Real Steel,344222,85.47,12A,Hugh Jackman,Evangeline Lilly,Dakota Goyo,Anthony Mackie,Action,Drama,Sci-Fi
Rocky Balboa,226400,70.27,12A,Sylvester Stallone,Antonio Tarver,Milo Ventimiglia,Burt Young,Action,Drama,Sport
Die Hard 2,372550,117.54,15,Bruce Willis,William Atherton,Bonnie Bedelia,Reginald VelJohnson,Action,Thriller,
Die Hard 4.0,414113,134.53,15,Bruce Willis,Justin Long,Timothy Olyphant,Maggie Q,Action,Thriller,
Desperado,192371,25.63,18,Antonio Banderas,Salma Hayek,Joaquim de Almeida,Cheech Marin,Action,Crime,Drama
Allied,163835,40.1,15,Brad Pitt,Marion Cotillard,Jared Harris,Vincent Ebrahim,Action,Drama,Romance
Flags of Our Fathers,126908,33.6,15,Ryan Phillippe,Barry Pepper,Joseph Cross,Jesse Bradford,Action,Adventure,Drama
Kung Fu Panda 3,173307,143.53,PG,Jack Black,Bryan Cranston,Dustin Hoffman,Angelina Jolie,Animation,Action,Adventure
No Way Out,43532,35.51,15,Kevin Costner,Gene Hackman,Sean Young,Will Patton,Action,Crime,Drama
The Poseidon Adventure,47607,84.56,A,Gene Hackman,Ernest Borgnine,Shelley Winters,Red Buttons,Action,Adventure,Drama
Three Kings,176881,60.65,15,George Clooney,Mark Wahlberg,Ice Cube,Spike Jonze,Action,Adventure,Comedy
Defiance,152730,28.64,15,Daniel Craig,Liev Schreiber,Jamie Bell,Alexa Davalos,Action,Drama,History
Brawl in Cell Block 99,71531,N/A,18,Vince Vaughn,Jennifer Carpenter,Don Johnson,Udo Kier,Action,Crime,Drama
Casualties of War,46730,18.67,18,Michael J. Fox,Sean Penn,Don Harvey,John C. Reilly,Action,Crime,Drama
Payback,142069,81.53,18,Mel Gibson,Gregg Henry,Maria Bello,David Paymer,Action,Crime,Drama
Ong-Bak: The Thai Warrior,76780,4.56,18,Tony Jaa,Phetthai Vongkumlao,Pumwaree Yodkamol,Suchao Pongwilai,Action,Crime,Thriller
Kon-Tiki,50808,1.52,15,Pål Sverre Hagen,Anders Baasmo,Gustaf Skarsgård,Odd-Magnus Williamson,Action,Adventure,Biography
Mission Majnu,42450,N/A,15,Sidharth Malhotra,Rashmika Mandanna,Parmeet Sethi,Zakir Hussain,Action,Drama,History
Mosul,28980,N/A,15,Waleed Elgadi,Suhail Dabbach,Adam Bessa,Is'haq Elias,Action,Drama,War
The Girl Who Played with Fire,97151,9.08,15,Noomi Rapace,Michael Nyqvist,Lena Endre,Peter Andersson,Action,Crime,Drama
Rex,25277,13.41,12,Kate Mara,Ramón Rodríguez,Tom Felton,Bradley Whitford,Action,Biography,Drama
District B13,72458,1.2,15,Cyril Raffaelli,David Belle,Tony D'Amario,Bibi Naceri,Action,Crime,Sci-Fi
An Action Hero,30313,N/A,12A,Ayushmann Khurrana,Jaideep Ahlawat,Neeraj Madhav,Gautam Joglekar,Action,Comedy,Crime
God Bless America,71249,0.12,15,Joel Murray,Tara Lynne Barr,Mackenzie Brooke Smith,Melinda Page Hamilton,Action,Comedy,Crime
In Order of Disappearance,28303,0.05,15,Stellan Skarsgård,Bruno Ganz,Pål Sverre Hagen,Jakob Oftebro,Action,Comedy,Crime
JCVD,39756,0.47,15,Jean-Claude Van Damme,Valérie Bodson,Hervé Sogne,Rock Chen,Action,Comedy,Crime
Dragon Ball Z: Battle of Gods,29099,2.55,12A,Masako Nozawa,Hiromi Tsuru,Ryô Horikawa,Masaharu Satô,Animation,Action,Adventure
Kaabil,28227,N/A,15,Hrithik Roshan,Yami Gautam,Ronit Roy,Rohit Roy,Action,Crime,Drama
Don,39202,0.8,12A,Shah Rukh Khan,Priyanka Chopra Jonas,Arjun Rampal,Isha Koppikar,Action,Crime,Thriller
Micmacs,30890,1.26,12A,Dany Boon,André Dussollier,Nicolas Marié,Yolande Moreau,Action,Comedy,Crime
Enthiran,28902,4.37,12A,Rajinikanth,Aishwarya Rai Bachchan,Danny Denzongpa,Santhanam,Action,Sci-Fi,Thriller
Fanaa,34076,2.1,12A,Aamir Khan,Kajol,Rishi Kapoor,Tabu,Action,Drama,Romance
Marighella,55671,N/A,N/A,Seu Jorge,Bruno Gagliasso,Luiz Carlos Vasconcelos,Humberto Carrão,Action,Drama,History
Koi..,26018,0.68,12A,Rekha,Hrithik Roshan,Preity G Zinta,Prem Chopra,Action,Drama,Romance
Gabbar Is Back,25915,N/A,12A,Akshay Kumar,Shruti Haasan,Kareena Kapoor,Suman,Action,Crime,Drama
Extraction II,113296,N/A,15,Chris Hemsworth,Golshifteh Farahani,Adam Bessa,Tornike Gogrichiani,Action,Thriller,
Transformers,660543,319.25,12A,Shia LaBeouf,Megan Fox,Josh Duhamel,Tyrese Gibson,Action,Adventure,Sci-Fi
The Unbearable Weight of Massive Talent,131504,N/A,15,Nicolas Cage,Pedro Pascal,Tiffany Haddish,Sharon Horgan,Action,Comedy,Crime
The Northman,233139,34.23,15,Alexander Skarsgård,Nicole Kidman,Claes Bang,Ethan Hawke,Action,Adventure,Drama
World War Z,694125,202.36,15,Brad Pitt,Mireille Enos,Daniella Kertesz,James Badge Dale,Action,Adventure,Horror
Jack Reacher,353156,80.07,15,Tom Cruise,Rosamund Pike,Richard Jenkins,Werner Herzog,Action,Mystery,Thriller
Independence Day,591999,306.17,12,Will Smith,Bill Pullman,Jeff Goldblum,Mary McDonnell,Action,Adventure,Sci-Fi
Thor,876795,181.03,12A,Chris Hemsworth,Anthony Hopkins,Natalie Portman,Tom Hiddleston,Action,Fantasy,
Death Proof,303796,N/A,18,Kurt Russell,Zoë Bell,Rosario Dawson,Vanessa Ferlito,Action,Thriller,
Rush Hour,282949,141.15,15,Jackie Chan,Chris Tucker,Ken Leung,Tom Wilkinson,Action,Comedy,Crime
Greyhound,105764,N/A,12,Tom Hanks,Elisabeth Shue,Stephen Graham,Matt Helm,Action,Drama,History
Stargate,198703,71.57,PG,Kurt Russell,James Spader,Jaye Davidson,Viveca Lindfors,Action,Adventure,Sci-Fi
Shazam!,369881,140.37,12A,Zachary Levi,Mark Strong,Asher Angel,Jack Dylan Grazer,Action,Adventure,Comedy
Star Trek Beyond,253414,158.85,12A,Chris Pine,Zachary Quinto,Karl Urban,Zoe Saldana,Action,Adventure,Sci-Fi
Highlander,142010,5.9,15,Christopher Lambert,Sean Connery,Clancy Brown,Roxanne Hart,Action,Adventure,Fantasy
Constantine,361365,75.98,15,Keanu Reeves,Rachel Weisz,Djimon Hounsou,Shia LaBeouf,Action,Fantasy,Horror
Sicario 2: Soldado,158251,50.07,15,Benicio Del Toro,Josh Brolin,Isabela Merced,Jeffrey Donovan,Action,Crime,Drama
Oblivion,540916,89.02,12A,Tom Cruise,Morgan Freeman,Andrea Riseborough,Olga Kurylenko,Action,Adventure,Sci-Fi
Super 8,362383,127.0,12A,Elle Fanning,AJ Michalka,Kyle Chandler,Joel Courtney,Action,Mystery,Sci-Fi
Spy,252168,110.83,15,Melissa McCarthy,Rose Byrne,Jude Law,Jason Statham,Action,Comedy,
The Italian Job,379829,106.13,UA,Donald Sutherland,Mark Wahlberg,Edward Norton,Charlize Theron,Action,Crime,Thriller
Underworld,278690,51.97,15,Kate Beckinsale,Scott Speedman,Shane Brolly,Michael Sheen,Action,Fantasy,Thriller
Public Enemies,311531,97.1,15,Christian Bale,Johnny Depp,Christian Stolte,Jason Clarke,Action,Biography,Crime
The Last Boy Scout,108424,59.51,18,Bruce Willis,Damon Wayans,Chelsea Field,Noble Willingham,Action,Comedy,Crime
Chronicle,258192,64.58,15,Dane DeHaan,Alex Russell,Michael B. Jordan,Michael Kelly,Action,Drama,Sci-Fi
Den of Thieves,118844,44.95,15,Gerard Butler,Pablo Schreiber,O'Shea Jackson Jr.,50 Cent,Action,Crime,Drama
RED,317092,90.38,12A,Bruce Willis,Helen Mirren,Morgan Freeman,Mary-Louise Parker,Action,Comedy,Crime
Logan Lucky,156526,27.78,12A,Channing Tatum,Adam Driver,Daniel Craig,Farrah Mackenzie,Action,Comedy,Crime
22 Jump Street,393023,191.72,15,Channing Tatum,Jonah Hill,Ice Cube,Nick Offerman,Action,Comedy,Crime
Fallen,88155,25.19,15,Denzel Washington,John Goodman,Donald Sutherland,Embeth Davidtz,Action,Crime,Drama
Cloverfield,411254,80.05,15,Mike Vogel,Jessica Lucas,Lizzy Caplan,T.J. Miller,Action,Adventure,Horror
Fast & Furious 6,407681,238.68,12A,Vin Diesel,Paul Walker,Dwayne Johnson,Michelle Rodriguez,Action,Adventure,Crime
Planet Terror,218242,N/A,18,Rose McGowan,Freddy Rodríguez,Josh Brolin,Marley Shelton,Action,Comedy,Horror
Smokey and the Bandit,54813,126.74,A,Burt Reynolds,Sally Field,Jerry Reed,Mike Henry,Action,Adventure,Comedy
Ant-Man and the Wasp,431359,216.65,12A,Paul Rudd,Evangeline Lilly,Michael Peña,Walton Goggins,Action,Adventure,Comedy
Bronson,137064,0.1,18,Tom Hardy,Kelly Adams,Luing Andrews,Katy Barker,Action,Crime,Drama
The Spy Who Loved Me,113022,46.8,A,Roger Moore,Barbara Bach,Curd Jürgens,Richard Kiel,Action,Adventure,Thriller
The Kingdom,130058,47.54,15,Jamie Foxx,Chris Cooper,Jennifer Garner,Jason Bateman,Action,Drama,Thriller
Rambo,239109,42.75,18,Sylvester Stallone,Julie Benz,Matthew Marsden,Graham McTavish,Action,Adventure,Thriller
9,144061,31.74,12A,Elijah Wood,Jennifer Connelly,Crispin Glover,Christopher Plummer,Animation,Action,Adventure
The Foreigner,119351,34.39,15,Katie Leung,Jackie Chan,Rufus Jones,Mark Tandy,Action,Thriller,
Body of Lies,234116,39.39,15,Leonardo DiCaprio,Russell Crowe,Mark Strong,Golshifteh Farahani,Action,Drama,Thriller
Maverick,115875,101.63,PG,Mel Gibson,Jodie Foster,James Garner,Graham Greene,Action,Adventure,Comedy
Pitch Black,248362,39.24,15,Radha Mitchell,Cole Hauser,Vin Diesel,Keith David,Action,Horror,Sci-Fi
Chip 'n Dale: Rescue Rangers,44576,N/A,9+,Andy Samberg,John Mulaney,KiKi Layne,Will Arnett,Animation,Action,Adventure
A Most Violent Year,75363,5.74,15,Oscar Isaac,Jessica Chastain,David Oyelowo,Alessandro Nivola,Action,Crime,Drama
The Towering Inferno,46529,116.0,A,Paul Newman,Steve McQueen,William Holden,Faye Dunaway,Action,Drama,Thriller
Spy Game,161900,0.03,15,Robert Redford,Brad Pitt,Catherine McCormack,Stephen Dillane,Action,Crime,Thriller
Brotherhood of the Wolf,69188,11.26,15,Samuel Le Bihan,Mark Dacascos,Jérémie Renier,Vincent Cassel,Action,Adventure,Drama
Hellboy II: The Golden Army,279994,75.75,12A,Ron Perlman,Selma Blair,Doug Jones,John Alexander,Action,Adventure,Fantasy
Filth,113008,0.03,18,James McAvoy,Jamie Bell,Eddie Marsan,Imogen Poots,Action,Comedy,Crime
Unleashed,106276,24.52,18,Jet Li,Bob Hoskins,Morgan Freeman,Kerry Condon,Action,Crime,Thriller
Thunderbolt and Lightfoot,27204,25.0,X,Clint Eastwood,Jeff Bridges,George Kennedy,Geoffrey Lewis,Action,Comedy,Crime
Ip Man 4,35066,3.96,15,Donnie Yen,Scott Adkins,Danny Kwok-Kwan Chan,Vanness Wu,Action,Biography,Drama
Ichi the Killer,58455,0.02,Not Rated,Tadanobu Asano,Nao Ômori,Shin'ya Tsukamoto,Paulyn Sun,Action,Crime,Drama
Dragon: The Bruce Lee Story,32147,35.11,15,Jason Scott Lee,Lauren Holly,Robert Wagner,Michael Learned,Action,Biography,Drama
The War of the Worlds,37424,4.36,X,Gene Barry,Ann Robinson,Les Tremayne,Robert Cornthwaite,Action,Sci-Fi,Thriller
Juice,28898,20.15,18,Omar Epps,Tupac Shakur,Jermaine Hopkins,Khalil Kain,Action,Crime,Drama
Taxi,86860,0.27,15,Samy Naceri,Frédéric Diefenthal,Marion Cotillard,Manuela Gourary,Action,Comedy,Crime
Son of Rambow,32658,1.78,12A,Bill Milner,Will Poulter,Jessica Hynes,Anna Wing,Action,Adventure,Comedy
Ip Man 3,58487,2.68,12A,Donnie Yen,Lynn Xiong,Jin Zhang,Mike Tyson,Action,Biography,Drama
The Protector,38339,11.91,18,Tony Jaa,Nathan Jones,Xing Jin,Phetthai Vongkumlao,Action,Crime,Drama
Curse of the Golden Flower,45266,6.57,R,Chow Yun-Fat,Gong Li,Jay Chou,Ye Liu,Action,Drama,Romance
Don 2,55624,3.68,12A,Shah Rukh Khan,Florian Lukas,Om Puri,Priyanka Chopra Jonas,Action,Crime,Thriller
Kabir Singh,36571,N/A,15,Shahid Kapoor,Kiara Advani,Nikita Dutta,Soham Majumdar,Action,Drama,Romance
Sultan,49504,6.2,12A,Salman Khan,Anushka Sharma,Randeep Hooda,Amit Sadh,Action,Drama,Romance
Main Hoon Na,38158,1.72,12A,Shah Rukh Khan,Sushmita Sen,Suniel Shetty,Zayed Khan,Action,Comedy,Drama
Dhamaka,42002,N/A,15,Kartik Aaryan,Mrunal Thakur,Amruta Subhash,Soham Majumdar,Action,Crime,Drama
The Warlords,27463,0.13,R,Jet Li,Andy Lau,Takeshi Kaneshiro,Jinglei Xu,Action,Adventure,Drama
Vikrant Rona,28144,N/A,15,Sudeep,Nirup Bhandari,Neetha Ashok,Jacqueline Fernandez,Action,Crime,Drama
The Legend Is Born: Ip Man,32591,N/A,N/A,Yu-Hang To,Yi Huang,Biao Yuen,Siu-Wong Fan,Action,Biography,Drama
The Flash,132506,N/A,12A,Ezra Miller,Michael Keaton,Sasha Calle,Michael Shannon,Action,Adventure,Fantasy
Sisu,49247,N/A,15,Jorma Tommila,Aksel Hennie,Jack Doolan,Mimosa Willamo,Action,War,
Mission: Impossible III,377599,134.03,12A,Tom Cruise,Michelle Monaghan,Ving Rhames,Philip Seymour Hoffman,Action,Adventure,Thriller
Top Gun,480919,179.8,15,Tom Cruise,Tim Robbins,Kelly McGillis,Val Kilmer,Action,Drama,
Jumanji: Welcome to the Jungle,402240,404.52,12A,Dwayne Johnson,Karen Gillan,Kevin Hart,Jack Black,Action,Adventure,Comedy
Captain America: The First Avenger,872470,176.65,12A,Chris Evans,Hugo Weaving,Samuel L. Jackson,Hayley Atwell,Action,Adventure,Sci-Fi
Doctor Strange in the Multiverse of Madness,448075,411.33,12A,Benedict Cumberbatch,Elizabeth Olsen,Chiwetel Ejiofor,Benedict Wong,Action,Adventure,Fantasy
Dragged Across Concrete,52164,N/A,18,Mel Gibson,Vince Vaughn,Tory Kittles,Michael Jai White,Action,Crime,Drama
The Woman King,65979,67.33,15,Viola Davis,Thuso Mbedu,Lashana Lynch,Sheila Atim,Action,Drama,History
Jurassic World,662231,652.27,12A,Chris Pratt,Bryce Dallas Howard,Ty Simpkins,Judy Greer,Action,Adventure,Sci-Fi
Conan the Barbarian,157271,39.57,15,Arnold Schwarzenegger,James Earl Jones,Max von Sydow,Sandahl Bergman,Action,Adventure,Fantasy
The Magnificent Seven,221147,93.43,12A,Denzel Washington,Chris Pratt,Ethan Hawke,Vincent D'Onofrio,Action,Adventure,Drama
Solo: A Star Wars Story,364961,213.77,12A,Alden Ehrenreich,Woody Harrelson,Emilia Clarke,Donald Glover,Action,Adventure,Sci-Fi
The Amazing Spider-Man,680028,262.03,12A,Andrew Garfield,Emma Stone,Rhys Ifans,Irrfan Khan,Action,Adventure,Sci-Fi
The Mask,403480,119.94,PG,Jim Carrey,Cameron Diaz,Peter Riegert,Peter Greene,Action,Comedy,Crime
28 Weeks Later,285594,28.64,18,Jeremy Renner,Rose Byrne,Robert Carlyle,Harold Perrineau,Action,Adventure,Horror
X-Men: Apocalypse,449398,155.44,12A,James McAvoy,Michael Fassbender,Jennifer Lawrence,Nicholas Hoult,Action,Adventure,Sci-Fi
Game Night,246973,69.18,15,Jason Bateman,Rachel McAdams,Kyle Chandler,Sharon Horgan,Action,Adventure,Comedy
In the Heart of the Sea,144676,25.02,12A,Chris Hemsworth,Cillian Murphy,Brendan Gleeson,Ben Whishaw,Action,Adventure,Biography
Pacific Rim,517094,101.8,12A,Idris Elba,Charlie Hunnam,Rinko Kikuchi,Charlie Day,Action,Adventure,Sci-Fi
The Last Kingdom: Seven Kings Must Die,30058,N/A,15,Mark Rowley,Pekka Strang,Zoltan Andrasi,Ingrid García Jonsson,Action,Drama,History
Con Air,310358,101.12,15,Nicolas Cage,John Cusack,John Malkovich,Colm Meaney,Action,Crime,Thriller
Clear and Present Danger,104696,122.19,12,Harrison Ford,Willem Dafoe,Anne Archer,Joaquim de Almeida,Action,Crime,Drama
A Knight's Tale,195147,56.57,PG,Heath Ledger,Mark Addy,Rufus Sewell,Shannyn Sossamon,Action,Adventure,Romance
Iron Man 2,844602,312.43,12A,Robert Downey Jr.,Mickey Rourke,Gwyneth Paltrow,Don Cheadle,Action,Sci-Fi,
Pineapple Express,349863,87.34,15,Seth Rogen,James Franco,Gary Cole,Danny McBride,Action,Comedy,Crime
Robin Hood: Prince of Thieves,202071,165.5,12,Kevin Costner,Morgan Freeman,Mary Elizabeth Mastrantonio,Christian Slater,Action,Adventure,Drama
Star Wars: Episode VIII - The Last Jedi,653011,620.18,12A,Daisy Ridley,John Boyega,Mark Hamill,Carrie Fisher,Action,Adventure,Fantasy
The World's End,291485,26.0,15,Simon Pegg,Nick Frost,Martin Freeman,Rosamund Pike,Action,Comedy,Sci-Fi
National Treasure,345424,173.01,PG,Nicolas Cage,Diane Kruger,Justin Bartha,Sean Bean,Action,Adventure,Mystery
Clash of the Titans,46435,41.09,12,Laurence Olivier,Harry Hamlin,Claire Bloom,Maggie Smith,Action,Adventure,Family
Outlaw/King,77083,N/A,18,Chris Pine,Stephen Dillane,Rebecca Robin,Billy Howle,Action,Biography,Drama
Crank,257195,27.83,18,Jason Statham,Amy Smart,Carlos Sanz,Jose Pablo Cantillo,Action,Crime,Thriller
Atlantis: The Lost Empire,127983,84.05,U,Michael J. Fox,Jim Varney,Corey Burton,Claudia Christian,Animation,Action,Adventure
Romancing the Stone,99690,76.57,U,Michael Douglas,Kathleen Turner,Danny DeVito,Zack Norman,Action,Adventure,Comedy
The Hitman's Bodyguard,240147,75.47,15,Ryan Reynolds,Samuel L. Jackson,Gary Oldman,Elodie Yung,Action,Comedy,Crime
Love and Monsters,136098,1.07,12,Dylan O'Brien,Jessica Henwick,Michael Rooker,Dan Ewing,Action,Adventure,Comedy
The Guardian,96028,55.01,12A,Kevin Costner,Ashton Kutcher,Sela Ward,Melissa Sagemiller,Action,Adventure,Drama
Thunderball,123405,63.6,PG,Sean Connery,Claudine Auger,Adolfo Celi,Luciana Paluzzi,Action,Adventure,Thriller
Death Wish,41730,22.0,X,Charles Bronson,Hope Lange,Vincent Gardenia,Steven Keats,Action,Crime,Drama
Westworld,61265,16.06,15,Yul Brynner,Richard Benjamin,James Brolin,Norman Bartold,Action,Drama,Sci-Fi
Non-Stop,271154,92.17,15,Liam Neeson,Julianne Moore,Scoot McNairy,Michelle Dockery,Action,Mystery,Thriller
48 Hrs.,82161,78.87,18,Nick Nolte,Eddie Murphy,Annette O'Toole,Frank McRae,Action,Comedy,Crime
Repo Man,39398,3.57,18,Harry Dean Stanton,Emilio Estevez,Tracey Walter,Olivia Barash,Action,Comedy,Crime
The Edge,76734,27.78,15,Anthony Hopkins,Alec Baldwin,Elle Macpherson,Harold Perrineau,Action,Adventure,Drama
The Big Boss,28456,0.04,15,Bruce Lee,Maria Yi,James Tien,Marilyn Bautista,Action,Crime,Drama
Free State of Jones,60113,20.76,15,Matthew McConaughey,Gugu Mbatha-Raw,Mahershala Ali,Keri Russell,Action,Biography,Drama
Slow West,46871,0.23,15,Kodi Smit-McPhee,Caren Pistorius,Aorere Paki,Jeffrey Thomas,Action,Adventure,Drama
The Trip,25224,N/A,15,Noomi Rapace,Aksel Hennie,Atle Antonsen,Christian Rubeck,Action,Comedy,Horror
The Night Comes for Us,28052,N/A,18,Joe Taslim,Iko Uwais,Julie Estelle,Dian Sastrowardoyo,Action,Crime,Thriller
The Last Castle,83409,18.21,15,Robert Redford,James Gandolfini,Mark Ruffalo,Steve Burton,Action,Drama,Thriller
The Monster Squad,33892,3.77,15,Andre Gower,Robby Kiger,Stephen Macht,Duncan Regehr,Action,Comedy,Fantasy
Memphis Belle,29600,27.44,N/A,Matthew Modine,Eric Stoltz,Tate Donovan,D.B. Sweeney,Action,Drama,War
All Is Lost,82358,6.26,12A,Robert Redford,N/A,N/A,N/A,Action,Adventure,Drama
Muppet Treasure Island,25532,33.61,U,Tim Curry,Billy Connolly,Jennifer Saunders,Kevin Bishop,Action,Adventure,Comedy
Legend of the Guardians: The Owls of Ga'Hoole,85663,55.68,PG,Jim Sturgess,Hugo Weaving,David Wenham,Emily Barclay,Animation,Action,Adventure
Trust,43472,0.12,15,Clive Owen,Catherine Keener,Liana Liberato,Jason Clarke,Action,Crime,Drama
New Police Story,28278,N/A,15,Jackie Chan,Nicholas Tse,Charlie Yeung,Daniel Wu,Action,Crime,Thriller
